Submitter Organization,County,Sub county,Ward,Vaccination Site(s),Latitude,Longitude,Vaccination Date,Species,Disease,Specify other disease,Total number vaccinated,Number of beneficiaries (HHs)
County Government,Makueni,Makueni,Mavindini,Kithathaini ,-1.788919,37.697017,2026-03-04,Cattle,Foot and Mouth Disease (FMD),Unknown,70,8
County Government,Makueni,Makueni,Mavindini,Kithathaini ,-1.788919,37.697017,2026-03-04,Cattle,Lumpy Skin Disease (LSD),Unknown,61,8
County Government,Makueni,Makueni,Mavindini,Kwakamote,-1.8046516,37.7813878,2026-03-04,Cattle,Foot and Mouth Disease (FMD),Unknown,88,20
County Government,Makueni,Makueni,Mavindini,Kwakamote,-1.8046516,37.7813878,2026-03-04,Cattle,Lumpy Skin Disease (LSD),Unknown,88,20
County Government,Makueni,Makueni,Mavindini,Mavindini ,-1.828627333,37.78471333,2026-03-04,Cattle,Foot and Mouth Disease (FMD),Unknown,97,22
County Government,Makueni,Makueni,Mavindini,Mavindini ,-1.828627333,37.78471333,2026-03-04,Cattle,Lumpy Skin Disease (LSD),Unknown,97,22
County Government,Kwale,Matuga,Kubo South,Kibuyuni,-4.3545207,39.3143811,2026-02-23,Cattle,Foot and Mouth Disease (FMD),Unknown,121,23
County Government,Kwale,Matuga,Kubo South,Mkanda 3,-4.3545194,39.3143814,2026-02-26,Cattle,Foot and Mouth Disease (FMD),Unknown,32,10
County Government,Makueni,Makueni,Mavindini,Mathangathi ,-1.79503333,37.78683666,2026-03-04,Cattle,Foot and Mouth Disease (FMD),Unknown,90,13
County Government,Nakuru,Naivasha,Biashara,Morendat,,,2026-02-27,Cattle,Foot and Mouth Disease (FMD),Unknown,2000,1
County Government,Makueni,Makueni,Mavindini,Mathangathi ,-1.79503333,37.78683666,2026-03-04,Cattle,Lumpy Skin Disease (LSD),Unknown,90,13
County Government,Makueni,Mbooni,Waia-Kako,Kitile,-1.6062818,37.585133,2026-02-25,Cattle,Foot and Mouth Disease (FMD),Unknown,14,2
County Government,Makueni,Mbooni,Waia-Kako,Nthangathini,-1.6330595,37.6218614,2026-03-04,Cattle,Foot and Mouth Disease (FMD),Unknown,10,1
County Government,Makueni,Mbooni,Waia-Kako,Nthangathini,-1.6330595,37.6218614,2026-03-04,Cattle,Lumpy Skin Disease (LSD),Unknown,10,1
County Government,Kwale,Lungalunga,Dzombo,Mwananyamala,-4.4317634,39.2789388,2026-03-05,Cattle,Foot and Mouth Disease (FMD),Unknown,14,1
County Government,Baringo,Baringo Central,Kapropita,Kisok,0.4923314,35.7446364,2026-03-04,Cattle,Foot and Mouth Disease (FMD),Unknown,222,22
County Government,Baringo,Baringo Central,Kapropita,Kurumbopsoo,0.4337844,35.6182625,2026-03-05,Cattle,Foot and Mouth Disease (FMD),Unknown,147,8
County Government,Nakuru,Rongai,Soin,Farm,-0.1253306,35.9432804,2026-03-05,Dogs,Parvovirus,Unknown,4,1
County Government,Baringo,Baringo South,Mochongoi,Kapchelimo,0.3557731,36.0555306,2026-03-05,Cattle,Foot and Mouth Disease (FMD),Unknown,137,11
County Government,Baringo,Baringo South,Mochongoi,Kapchelimo,0.3557731,36.0555306,2026-03-05,Goats,Peste des Petit Ruminants (PPR),Unknown,1147,12
