Submitter Organization,County,Sub county,Ward,Vaccination Site(s),Latitude,Longitude,Vaccination Date,Species,Disease,Specify other disease,Total number vaccinated,Number of beneficiaries (HHs)
County Government,Nyeri,Nyeri Town,Kiganjo/Mathari,Unknown,,,2025-02-11,Cattle,Anthrax,Unknown,3,1
County Government,Nyandarua,Kinangop,Murungaru,Unknown,,,2025-05-05,Sheep,Enterotoxaemia,Unknown,65,10
County Government,Nyeri,Tetu,Wamagana,Unknown,,,2025-01-21,Cattle,Lumpy Skin Disease (LSD),Unknown,2,1
County Government,Nyeri,Tetu,Wamagana,Unknown,,,2025-01-21,Cattle,Anthrax,Unknown,2,1
County Government,Nyeri,Tetu,Wamagana,Unknown,,,2025-01-21,Dogs,Rabies,Unknown,1,1
County Government,Nyeri,Tetu,Wamagana,Unknown,,,2025-01-23,Cattle,Lumpy Skin Disease (LSD),Unknown,1,1
County Government,Kericho,Belgut,Chaik,Unknown,,,2025-02-27,Cats,Rabies,Unknown,5,3
County Government,Kericho,Belgut,Chaik,Unknown,,,2025-02-28,Cattle,Anthrax,Unknown,78,9
County Government,Kericho,Belgut,Chaik,Unknown,,,2025-02-28,Dogs,Rabies,Unknown,47,22
County Government,Nyeri,Tetu,Wamagana,Unknown,,,2025-01-21,Cattle,Anthrax,Unknown,4,1
County Government,Nyeri,Nyeri Town,Kamakwa/Mukaro,Unknown,,,2025-02-04,Cattle,Lumpy Skin Disease (LSD),Unknown,6,1
County Government,Nyeri,Tetu,Wamagana,Unknown,,,2025-01-21,Dogs,Rabies,Unknown,1,1
County Government,Nyeri,Tetu,Dedan Kimanthi,Unknown,,,2025-02-05,Cattle,Anthrax,Unknown,4,1
Private,Garissa,Fafi,Jarajila,Unknown,,,2025-05-06,Sheep,Other,Ppr,520,31
County Government,Bomet,Sotik,Kipsonoi,Unknown,,,2025-04-09,Sheep,Anthrax,Unknown,16,2
County Government,Bomet,Sotik,Kipsonoi,Unknown,,,2025-04-10,Sheep,Anthrax,Unknown,32,6
County Government,Nyeri,Tetu,Dedan Kimanthi,Unknown,,,2025-02-05,Cattle,Lumpy Skin Disease (LSD),Unknown,4,1
County Government,Nyeri,Nyeri Town,Kiganjo/Mathari,Unknown,,,2025-02-11,Cattle,Lumpy Skin Disease (LSD),Unknown,3,1
Private,Vihiga,Luanda,Mwibona,Sq,0.0284794,34.5856155,2025-01-01,Dogs,Rabies,Unknown,3,1
Private,Busia,Teso South,Amukura Central,Apokor,0.5395331,34.2602346,2025-01-02,Dogs,Rabies,Unknown,6,2
County Government,Taita Taveta,Taveta,Mahoo,Chachewa,-3.3913775,37.6756623,2025-01-02,Dogs,Rabies,Unknown,1,1
County Government,Taita Taveta,Voi,Mbololo,Sikujua,-3.3808366666666663,38.576825,2025-01-03,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,28,1
County Government,Taita Taveta,Voi,Kaloleni,Gimba,-3.4529683333333328,38.55286833333333,2025-01-04,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,6,1
County Government,Samburu,Samburu West,Suguta Marmar,Mparinkon ,1.0812188,36.708022,2025-01-06,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,252,8
Private,Bungoma,Kanduyi,Bukembe West,Farm,0.6198674,34.5772374,2025-01-06,Cats,Rabies,Unknown,2,1
County Government,Tana River,Bura,Chewele,Meti,,,2025-01-06,Cattle,Contagious Bovine Pleuropneumonia (CBPP),Unknown,352,4
County Government,Tana River,Bura,Chewele,Meti,0.0,0.0,2025-01-06,Cattle,Lumpy Skin Disease (LSD),Unknown,350,4
County Government,Taita Taveta,Taveta,Mahoo,Ebenezer ,-3.3837033,37.6785046,2025-01-07,Dogs,Rabies,Unknown,2,1
County Government,Taita Taveta,Mwatate,Bura,Barawa,-3.4778016666666662,38.31055666666667,2025-01-06,Dogs,Parvovirus,Unknown,3,1
County Government,Tana River,Bura,Chewele,Meti,,,2025-01-07,Cattle,Contagious Bovine Pleuropneumonia (CBPP),Unknown,258,3
County Government,Tana River,Bura,Chewele,Meti,,,2025-01-07,Goats,Peste des Petit Ruminants (PPR),Unknown,415,4
Private,Samburu,Samburu North,Nyiro,Ntaletiani,2.3163058,36.890772,2025-01-07,Goats,Peste des Petit Ruminants (PPR),Unknown,71,61
County Government,Tana River,Bura,Chewele,Meti,,,2025-01-07,Cattle,Lumpy Skin Disease (LSD),Unknown,520,5
County Government,Tana River,Bura,Chewele,Nanigh,,,2025-01-07,Cattle,Contagious Bovine Pleuropneumonia (CBPP),Unknown,50,5
County Government,Taita Taveta,Mwatate,Bura,Mramba,-3.441815,38.16077166666666,2025-01-08,Cattle,Lumpy Skin Disease (LSD),Unknown,90,2
County Government,Tana River,Bura,Chewele,Cherndende,,,2025-01-08,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,1045,6
County Government,Tana River,Bura,Chewele,Cherende,,,2025-01-07,Goats,Peste des Petit Ruminants (PPR),Unknown,412,4
County Government,Taita Taveta,Taveta,Mata,Timbila,-3.3885947,37.7206114,2025-01-11,Dogs,Rabies,Unknown,2,1
County Government,Baringo,Baringo South,Marigat,Barngelech,0.4805211,35.8390729,2025-01-09,Goats,Peste des Petit Ruminants (PPR),Unknown,136,2
County Government,Tana River,Bura,Chewele,Cherndende,,,2025-01-09,Goats,Peste des Petit Ruminants (PPR),Unknown,963,12
County Government,Makueni,Kaiti,Ilima,Mukimani ,-1.8549124,37.4156008,2025-01-29,Dogs,Rabies,Unknown,15,7
County Government,Tana River,Garsen,Garsen West,Centre 2,-2.265632,40.110953,2025-01-04,Chicken,Newcastle Disease (NCD),Unknown,97,1
County Government,Tana River,Garsen,Garsen West,Centre 2,-2.26559,240.11094,2025-01-04,Chicken,Newcastle Disease (NCD),Unknown,97,1
County Government,Narok,Narok South,Majimoto/Naroosura,4,-1.2080056,35.7169689,2025-01-10,Sheep,Enterotoxaemia,Unknown,732,4
County Government,Baringo,Baringo South,Marigat,Kalro ,,,2025-01-10,Goats,Peste des Petit Ruminants (PPR),Unknown,119,1
County Government,Tana River,Bura,Hirimani,Sabukia,-1.06137,39.44488333333334,2025-01-09,Cattle,Contagious Bovine Pleuropneumonia (CBPP),Unknown,473,7
County Government,Tana River,Bura,Hirimani,Faga(sabukia),-1.112785,39.38341833333333,2025-01-09,Cattle,Contagious Bovine Pleuropneumonia (CBPP),Unknown,963,7
County Government,Taita Taveta,Mwatate,Bura,Kwa mnengwa ,-3.4184983,38.2556383,2025-01-11,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,96,3
County Government,Taita Taveta,Voi,Mbololo,Vindo,-3.41116,38.52728166666667,2025-01-06,Dogs,Rabies,Unknown,2,1
County Government,Taita Taveta,Voi,Kaloleni,Kasarani ,-3.4093566666666666,38.56564,2025-01-10,Dogs,Rabies,Unknown,1,1
County Government,Taita Taveta,Mwatate,Rong'E,Mrabenyi ,-3.4088666666666665,38.481903333333335,2025-01-06,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,36,3
Private,Bungoma,Webuye East,Ndivisi,Home ,0.6975808,34.7558824,2025-01-11,Dogs,Canine Distemper (CD),Unknown,2,1
County Government,Taita Taveta,Mwatate,Chawia,Kambanga,-3.6270105,38.369414,2025-01-11,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,61,1
Private,Samburu,Samburu North,Nyiro,Ntaletiani,,,2025-01-12,Goats,Peste des Petit Ruminants (PPR),Unknown,76,9
County Government,Narok,Narok South,Ololulung'A,Nkoben,-1.0041616666666668,35.72285333333333,2025-01-13,Sheep,Sheep Pox,Unknown,200,3
County Government,Narok,Narok South,Ololulung'A,Nkoben,-1.0040533333333337,35.723076666666664,2025-01-13,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,100,3
Private,Busia,Teso South,Amukura West,Akiriamas,0.6361671,34.2346914,2025-01-14,Dogs,Rabies,Unknown,3,1
County Government,Elgeyo/Marakwet,Marakwet West,Kapsowar,Matira,0.9213696,35.5716225,2025-01-14,Chicken,Newcastle Disease (NCD),Unknown,100,1
County Government,Tana River,Galole,Wayu,Arro(lakole),-1.25381,39.23052166666666,2025-01-12,Cattle,Foot and Mouth Disease (FMD),Unknown,456,6
County Government,Tana River,Galole,Wayu,Arokobo(lakole),-1.2539716666666667,39.21285666666667,2025-01-12,Cattle,Contagious Bovine Pleuropneumonia (CBPP),Unknown,856,7
County Government,Tana River,Galole,Wayu,Oneherro,-1.7640466666666668,39.37775166666667,2025-01-07,Cattle,Contagious Bovine Pleuropneumonia (CBPP),Unknown,1256,9
County Government,Tana River,Galole,Wayu,Adamadi,-1.3606633333333331,39.38369,2025-01-06,Cattle,Contagious Bovine Pleuropneumonia (CBPP),Unknown,496,4
County Government,Tana River,Galole,Wayu,Malkadende,-1.5812283333333337,39.419895,2025-01-07,Cattle,Contagious Bovine Pleuropneumonia (CBPP),Unknown,321,2
County Government,Nyeri,Nyeri Town,Kamakwa/Mukaro,Unknown,,,2025-02-04,Cattle,Anthrax,Unknown,6,3
County Government,Tana River,Galole,Wayu,Ondhendhe ,-1.4131733333333334,39.45952833333333,2025-01-06,Cattle,Contagious Bovine Pleuropneumonia (CBPP),Unknown,241,3
County Government,Tana River,Galole,Wayu,Onabasheku-fodima,-1.52891,39.363126666666666,2025-01-06,Cattle,Contagious Bovine Pleuropneumonia (CBPP),Unknown,163,1
County Government,Tana River,Galole,Wayu,Hakoka ,-1.2947833333333332,39.661605,2025-01-05,Cattle,Contagious Bovine Pleuropneumonia (CBPP),Unknown,723,12
County Government,Tana River,Galole,Wayu,Hakoka,-1.2966000000000002,39.65667333333333,2025-01-04,Cattle,Contagious Bovine Pleuropneumonia (CBPP),Unknown,923,12
County Government,Marsabit,Moyale,Moyale Township,Gurumesa,3.5143084,39.0618393,2025-01-14,Chicken,Fowl Pox,Unknown,1000,8
County Government,Taita Taveta,Voi,Mbololo,Wongonyi,-3.3930268,38.5825362,2025-01-11,Chicken,Newcastle Disease (NCD),Unknown,420,45
Unknown,Narok,Narok West,Siana,S/C,-1.2740449,35.5361997,2025-01-15,Goats,Enterotoxaemia,Unknown,70,1
Unknown,Narok,Narok West,Siana,Im,,,2025-01-15,Goats,Enterotoxaemia,Unknown,0,1
Unknown,Narok,Narok West,Siana,Crush,-1.2740449,35.5361997,2025-01-15,Goats,Enterotoxaemia,Unknown,300,1
Unknown,Narok,Narok West,Siana,Crush,-1.2740449,35.5361997,2025-01-15,Dogs,Rabies,Unknown,20,5
County Government,Taita Taveta,Voi,Mbololo,Voi Town ,-3.3932692,38.5632996,2025-01-15,Dogs,Rabies,Unknown,2,1
County Government,Tana River,Garsen,Garsen West,Kone,,,2025-01-05,Cattle,Foot and Mouth Disease (FMD),Unknown,458,3
County Government,Tana River,Garsen,Garsen West,Konkona,-2.2672473,40.1022246,2025-01-16,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,650,4
County Government,Tana River,Garsen,Garsen West,Konkona,-2.2672473,40.1022246,2025-01-16,Sheep,Sheep Pox,Unknown,738,4
County Government,Tana River,Garsen,Garsen West,Konkona,-2.251905,40.1198717,2025-01-16,Goats,Goat Pox,Unknown,650,4
County Government,Taita Taveta,Mwatate,Bura,Mnengwa ,-3.438545,38.2660233,2025-01-16,Dogs,Rabies,Unknown,4,2
County Government,Kakamega,Butere,Marama South,Namukunda,,,2025-01-08,Dogs,Rabies,Unknown,10,3
Unknown,Narok,Narok South,Majimoto/Naroosura,Crush,-1.1529997,35.7541657,2025-01-16,Dogs,Rabies,Unknown,10,5
Unknown,Narok,Narok South,Majimoto/Naroosura,Crush,-1.1544799,35.7534833,2025-01-15,Dogs,Rabies,Unknown,5,2
County Government,Narok,Narok South,Majimoto/Naroosura,7,-1.3142569,35.8056665,2025-01-16,Cattle,Foot and Mouth Disease (FMD),Unknown,297,5
County Government,Taita Taveta,Mwatate,Mwatate,Msisinenyi,-3.481138333333333,38.39677,2025-01-16,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,80,1
County Government,Narok,Transmara West,Shankoe,Oloongabolok,-1.1066788,34.8760386,2025-01-17,Cattle,Black Quarter,Unknown,50,1
County Government,Taita Taveta,Mwatate,Bura,Mwakitau,,,2025-01-11,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,256,2
County Government,Taita Taveta,Mwatate,Bura,Bura Mndendelenyi,-3.43937,38.31897666666667,2025-01-07,Dogs,Rabies,Unknown,2,1
County Government,Busia,Nambale,Bukhayo North/Waltsi,Mungatsi,0.4555044,34.1119838,2025-01-10,Chicken,Newcastle Disease (NCD),Unknown,400,3
County Government,Busia,Nambale,Bukhayo North/Waltsi,Madende,0.4485585,34.252552,2025-01-17,Chicken,Fowl Pox,Unknown,1000,5
County Government,Taita Taveta,Wundanyi,Wumingu/Kishushe,Kisima Villiage,-3.2755258,38.2897241,2025-01-17,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,150,1
County Government,Tharaka-Nithi,Maara,Mitheru,Mikuu Mkt,-0.2798478,37.6621098,2025-01-17,Cattle,Anthrax,Unknown,60,31
County Government,Taita Taveta,Wundanyi,Wumingu/Kishushe,Iriwa Ja Punda,-2.9744367,38.2524809,2025-01-17,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,65,2
County Government,Busia,Teso South,Chakol South,Household ,0.4533224,34.1496908,2025-01-17,Pigs,Rabies,Unknown,1,1
County Government,Taita Taveta,Wundanyi,Wumingu/Kishushe,Star Village ,-3.2968911,38.3015848,2025-01-18,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,65,1
County Government,Taita Taveta,Wundanyi,Wundanyi/Mbale,Wanganga,-3.3715479,38.4088944,2025-01-18,Dogs,Rabies,Unknown,3,1
County Government,Tana River,Garsen,Garsen North,Gamba,-2.2689697,40.2010784,2025-01-19,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,2158,8
County Government,Taita Taveta,Taveta,Mahoo,Lessesia ,-3.3765663,37.6720851,2025-01-19,Dogs,Rabies,Unknown,2,1
County Government,Tana River,Galole,Chewani,Bultini,-1.5378176,39.9984336,2025-01-20,Cattle,Contagious Bovine Pleuropneumonia (CBPP),Unknown,180,3
National Government,Garissa,Balambala,Danyere,Mudey3,0.0443,39.00739,2025-01-17,Goats,Peste des Petit Ruminants (PPR),Unknown,1242,15
National Government,Garissa,Balambala,Danyere,Mudey,0.043,39.00739,2025-01-20,Sheep,Peste des Petit Ruminants (PPR),Unknown,670,15
National Government,Garissa,Balambala,Jara Jara,Kone,0.0421,39.001,2025-01-18,Goats,Peste des Petit Ruminants (PPR),Unknown,1832,18
National Government,Garissa,Balambala,Balambala,Buratansa ,-0.04097,39.03635,2025-01-19,Goats,Peste des Petit Ruminants (PPR),Unknown,1230,19
National Government,Garissa,Balambala,Balambala,Buratansa ,0.04309,39.066325,2025-01-19,Sheep,Peste des Petit Ruminants (PPR),Unknown,440,19
County Government,Taita Taveta,Voi,Mbololo,Village ,-3.3267324,38.523583,2025-01-20,Cattle,Lumpy Skin Disease (LSD),Unknown,15,1
County Government,Nyeri,Tetu,Wamagana,"LSD,BQ",-0.4905459,36.9421834,2025-01-21,Cattle,Lumpy Skin Disease (LSD),Unknown,2,1
County Government,Nyeri,Tetu,Wamagana,Unknown,,,2025-01-21,Cattle,Anthrax,Unknown,2,2
County Government,Nyeri,Tetu,Wamagana,Unknown,,,2025-01-21,Cattle,Lumpy Skin Disease (LSD),Unknown,2,1
County Government,Nyeri,Tetu,Wamagana,Unknown,,,2025-01-21,Cattle,Anthrax,Unknown,2,1
County Government,Nyeri,Tetu,Wamagana,Subcutaneous ,,,2025-01-21,Cattle,Anthrax,Unknown,2,1
County Government,Nyeri,Tetu,Wamagana,Unknown,,,2025-01-21,Cattle,Lumpy Skin Disease (LSD),Unknown,2,1
Private,Kakamega,Ikolomani,Idakho Central,Musoli,0.2021141,34.6616283,2025-01-21,Dogs,Rabies,Unknown,2,1
County Government,Nyeri,Tetu,Wamagana,Unknown,,,2025-01-21,Cattle,Anthrax,Unknown,2,1
County Government,Nyeri,Tetu,Wamagana,Unknown,,,2025-01-21,Cattle,Lumpy Skin Disease (LSD),Unknown,2,1
County Government,Nyeri,Tetu,Wamagana,Unknown,,,2025-01-21,Cattle,Lumpy Skin Disease (LSD),Unknown,4,1
County Government,Nyeri,Tetu,Aguthi-Gaaki,Subcutaneous ,-0.5041576,36.995237,2025-01-21,Dogs,Rabies,Unknown,2,1
County Government,Nyeri,Tetu,Aguthi-Gaaki,Subconscious ,,,2025-01-21,Cattle,Anthrax,Unknown,16,2
County Government,Nyeri,Tetu,Aguthi-Gaaki,Unknown,,,2025-01-21,Cattle,Lumpy Skin Disease (LSD),Unknown,16,2
County Government,Tharaka-Nithi,Maara,Mitheru,Mikuu Village,-0.3066526,37.6574541,2025-01-21,Cattle,Anthrax,Unknown,33,23
County Government,Tharaka-Nithi,Maara,Mitheru,Mikuu Village,-0.3066526,37.6574541,2025-01-21,Sheep,Anthrax,Unknown,7,1
County Government,Tharaka-Nithi,Maara,Mitheru,Mikuu Village,-0.3066526,37.6574541,2025-01-21,Goats,Anthrax,Unknown,55,19
County Government,Tharaka-Nithi,Maara,Mitheru,Mikuu Village,-0.2979875,37.6684277,2025-01-21,Pigs,Other,Anthrax,23,1
County Government,Marsabit,Laisamis,Loiyangalani,Olturot ,2.5999,37.09662333333333,2025-01-21,Dogs,Rabies,Unknown,37,12
County Government,West Pokot,Sigor,Sekerr,Poghoi Of,1.6113228,35.4071246,2025-01-17,Goats,Peste des Petit Ruminants (PPR),Unknown,412,2
County Government,Narok,Narok West,Mara,"Esanankururi,Eluai And Osero",-1.2403866666666663,35.224985,2025-01-22,Cattle,East Coast Fever(ECF),Unknown,40,2
County Government,Narok,Narok West,Mara,Esanankururi And Endoinyo erinka,-1.2404266666666668,35.22501833333333,2025-01-22,Cattle,Contagious Bovine Pleuropneumonia (CBPP),Unknown,400,5
County Government,Elgeyo/Marakwet,Keiyo South,Soy North,Chepyakwai,0.49476,35.5933106,2025-01-23,Cattle,Lumpy Skin Disease (LSD),Unknown,300,11
County Government,Nyeri,Tetu,Wamagana,Unknown,,,2025-01-23,Cattle,Lumpy Skin Disease (LSD),Unknown,1,1
Private,Elgeyo/Marakwet,Keiyo South,Soy North,Chepyakwai ,0.5637466488406062,35.62048673629761,2025-01-23,Cattle,Lumpy Skin Disease (LSD),Unknown,200,15
County Government,Tana River,Garsen,Garsen North,Ngumu ,-2.1539417,40.1806173,2025-01-24,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,2305,13
County Government,Tharaka-Nithi,Maara,Mitheru,Iriani Dip.,-0.314526,37.6694252,2025-01-24,Cattle,Anthrax,Unknown,80,32
County Government,Tharaka-Nithi,Maara,Mitheru,Iriani Dip,-0.314526,37.6694252,2025-01-24,Sheep,Anthrax,Unknown,6,2
County Government,Tharaka-Nithi,Maara,Mitheru,Iriani,-0.314526,37.6694252,2025-01-24,Goats,Anthrax,Unknown,131,26
County Government,Taita Taveta,Mwatate,Bura,Bura Mission,-3.3818458,38.5722192,2025-01-24,Chicken,Fowl Pox,Unknown,188,1
County Government,Taita Taveta,Voi,Sagalla,Izera Ranch,-3.5282792,38.7097312,2025-01-25,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,2154,1
County Government,Baringo,Baringo South,Ilchamus,Longewan,0.466256,35.9807228,2025-01-26,Cattle,Lumpy Skin Disease (LSD),Unknown,64,2
County Government,Narok,Narok West,Mara,Lemek,-1.09923,35.85077166666667,2025-01-26,Cattle,East Coast Fever(ECF),Unknown,40,3
County Government,Narok,Narok West,Mara,Olemoncho,-1.1972233333333333,35.289115,2025-01-27,Cattle,East Coast Fever(ECF),Unknown,30,2
Private,Vihiga,Hamisi,Shamakhokho,Serem,0.0773399999999999,34.855313333333335,2025-01-27,Dogs,Other,DHLP,5,1
County Government,Makueni,Makueni,Kathonzweni,Kosya,-1.9099083,37.7288745,2025-01-16,Chicken,Newcastle Disease (NCD),Unknown,326,1
County Government,Mombasa,Kisauni,Magogoni,Leisure ,-4.0325247,39.6884916,2025-01-24,Dogs,Rabies,Unknown,1,1
County Government,Makueni,Makueni,Wote,Wote,-1.7902058,37.6335059,2025-01-27,Chicken,Newcastle Disease (NCD),Unknown,92,1
County Government,Taita Taveta,Mwatate,Chawia,Kitivo,-3.5112586,38.3727652,2025-01-27,Dogs,Rabies,Unknown,4,1
County Government,Makueni,Makueni,Wote,Muambani,-1.8071957,37.6268521,2025-01-28,Chicken,Newcastle Disease (NCD),Unknown,173,1
County Government,Narok,Narok West,Mara,Enkobiletai,-1.059753333333333,35.246356666666664,2025-01-28,Cattle,East Coast Fever(ECF),Unknown,50,1
County Government,Makueni,Kaiti,Ilima,Matheka Village ,-1.812465,37.444055000000006,2025-01-23,Dogs,Rabies,Unknown,2,1
County Government,Nyeri,Tetu,Wamagana,Unknown,,,2025-01-28,Cattle,Anthrax,Unknown,37,16
Private,Bungoma,Kanduyi,Bukembe West,Home,0.619615,34.5782755,2025-01-28,Dogs,Rabies,Unknown,3,1
County Government,Tana River,Bura,Chewele,Cherdende,,,2025-01-21,Cattle,Contagious Bovine Pleuropneumonia (CBPP),Unknown,52,2
County Government,Taita Taveta,Taveta,Mboghoni,AFC,-3.3932202,37.6754042,2025-01-29,Dogs,Rabies,Unknown,2,1
County Government,Tana River,Garsen,Garsen Central,Ramadha,-2.3020301,40.1211122,2025-01-29,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,750,3
County Government,Makueni,Mbooni,Waia-Kako,Mbumbuni ,-1.6221413,37.5622119,2025-01-29,Chicken,Newcastle Disease (NCD),Unknown,800,54
County Government,Taita Taveta,Wundanyi,Wumingu/Kishushe,Kwafiti Village ,-3.2753774,38.2930189,2025-01-29,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,130,2
County Government,Taita Taveta,Wundanyi,Wumingu/Kishushe,Star Village ,-3.2753774,38.2930189,2025-01-18,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,60,1
County Government,Makueni,Kaiti,Ilima,Mukimani ,-1.8549124,37.4156008,2025-01-29,Dogs,Rabies,Unknown,2,1
County Government,Taita Taveta,Voi,Mbololo,Village,-3.3267324,38.523583,2025-01-22,Cattle,Lumpy Skin Disease (LSD),Unknown,50,5
County Government,Makueni,Kaiti,Ilima,Katondiloni,-1.8493509,37.4226082,2025-01-29,Dogs,Rabies,Unknown,73,43
County Government,Nyeri,Tetu,Wamagana,Unknown,,,2025-01-29,Cattle,Lumpy Skin Disease (LSD),Unknown,3,1
County Government,Makueni,Kaiti,Ilima,Kyathani T,-1.8560025,37.4012501,2025-01-29,Dogs,Rabies,Unknown,26,21
County Government,Makueni,Kaiti,Ilima,Kyambeke ,-1.8483919,37.4213301,2025-01-29,Dogs,Rabies,Unknown,55,31
County Government,Taita Taveta,Taveta,Mboghoni,Eldoro ,-3.477238333333333,37.68320833333333,2025-01-30,Chicken,Newcastle Disease (NCD),Unknown,350,8
County Government,Kilifi,Ganze,Bamba,Kayeri,,,2025-01-30,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,200,5
County Government,Kericho,Kipkelion East,Londiani,Abc,-2.3847741,40.7023091,2025-01-30,Dogs,Rabies,Unknown,1005,8
County Government,Elgeyo/Marakwet,Keiyo South,Soy North,Chebot And Chepyakwai,0.3116527,35.7091179,2025-01-30,Cattle,Lumpy Skin Disease (LSD),Unknown,1050,22
County Government,Lamu,Lamu West,Bahari,Lake Kenyatta Secondary Opposite ,-2.384781666666667,40.702335,2025-01-30,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,100,2
Private,Lamu,Lamu West,Mkunumbi,Mkunumbi ,-2.3847556,40.7023102,2025-01-30,Goats,Peste des Petit Ruminants (PPR),Unknown,1500,6
County Government,Busia,Nambale,Bukhayo East,Esidende,0.4504805,34.273589,2025-01-31,Dogs,Canine Distemper (CD),Unknown,12,3
County Government,Lamu,Lamu West,Mkunumbi,Unknown,-2.38476,40.7023346,2025-01-30,Dogs,Rabies,Unknown,10,6
County Government,Lamu,Lamu West,Mkunumbi,Mkunumbi Crush,-2.3847576,40.7023083,2025-01-30,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,100,6
County Government,Lamu,Lamu West,Hindi,Koreni,-2.3847512,40.7023105,2025-01-30,Cattle,Contagious Bovine Pleuropneumonia (CBPP),Unknown,200,1
County Government,Lamu,Lamu West,Bahari,Lake amu Crush,-2.3847585,40.7023062,2025-01-30,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,100,5
County Government,Lamu,Lamu West,Bahari,Village,-2.3842777,40.7023046,2025-01-31,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,123,2
County Government,Lamu,Lamu West,Bahari,Unknown,-2.3877869,40.702389,2025-01-31,Chicken,Newcastle Disease (NCD),Unknown,200,2
County Government,Lamu,Lamu West,Bahari,Farm,-2.3824155,40.7011931,2025-01-31,Cattle,Foot and Mouth Disease (FMD),Unknown,150,2
County Government,Kwale,Matuga,Mkongani,Farm ,-4.2813318,39.2594654,2025-01-30,Chicken,Fowl Pox,Unknown,40,7
County Government,Kwale,Matuga,Mkongani,Farm,-4.2813318,39.2594654,2025-01-30,Chicken,Fowl Pox,Unknown,65,6
County Government,Taita Taveta,Voi,Mbololo,Ikanga,-3.40021,38.5341126,2025-01-31,Dogs,Parvovirus,Unknown,5,1
County Government,Lamu,Lamu West,Hindi,Farm,-2.1749896,40.8226964,2025-02-01,Cattle,Contagious Bovine Pleuropneumonia (CBPP),Unknown,180,1
County Government,Lamu,Lamu West,Bahari,Farm,-2.366538333333333,40.68043,2025-02-01,Cats,Rabies,Unknown,2,1
County Government,Lamu,Lamu West,Bahari,Unknown,-2.384289,40.7023087,2025-01-30,Cattle,Contagious Bovine Pleuropneumonia (CBPP),Unknown,80,1
County Government,Taita Taveta,Mwatate,Bura,Barawa,-3.4754250000000004,38.312356666666666,2025-02-01,Dogs,Rabies,Unknown,2,1
County Government,Taita Taveta,Mwatate,Bura,Barawa,-3.47529,38.31223333333333,2025-02-01,Dogs,Parvovirus,Unknown,3,1
County Government,Taita Taveta,Mwatate,Bura,Ilole,-3.444186666666667,38.315446666666666,2025-01-17,Dogs,Parvovirus,Unknown,1,1
County Government,Taita Taveta,Mwatate,Rong'E,Mrabenyi P,-3.4117483333333336,38.48122,2025-01-31,Chicken,Fowl Pox,Unknown,98,3
County Government,Taita Taveta,Mwatate,Rong'E,Mrabenyi ,-3.409025,38.481836666666666,2025-01-31,Dogs,Rabies,Unknown,1,1
County Government,Taita Taveta,Mwatate,Rong'E,Mrabenyi ,-3.408921666666666,38.481903333333335,2025-01-31,Chicken,Fowl Pox,Unknown,79,1
County Government,Taita Taveta,Mwatate,Rong'E,Mrabenyi ,-3.403081666666667,38.48272166666666,2025-01-31,Dogs,Rabies,Unknown,1,1
County Government,Taita Taveta,Mwatate,Rong'E,Mrabenyi X,-3.410225,38.48223666666667,2025-01-31,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,85,4
County Government,Lamu,Lamu West,Witu,Lumshi,-2.393173668533564,40.5859946552664,2025-02-03,Cattle,Contagious Bovine Pleuropneumonia (CBPP),Unknown,500,9
County Government,Makueni,Makueni,Kathonzweni,Makutano,-1.9525513,37.7146306,2025-01-31,Dogs,Rabies,Unknown,4,1
County Government,Makueni,Makueni,Kathonzweni,Ikaasu,-1.934391,37.7355613,2025-01-24,Dogs,Rabies,Unknown,5,1
Unknown,Narok,Narok West,Mara,Lemek,-1.1034876,35.3838214,2025-02-03,Cattle,Contagious Bovine Pleuropneumonia (CBPP),Unknown,267,4
