Id,Cadre,Date of Start of Outbreak/Event,Date Event Reported,Season,Latitude,Longitude,Region,Area Type,Area Name,Animal Category,Species,Population in Herd,Traumatic injuries,Number Affected,Type of injury,Nature of human inflicted injury,Death of animals,Skin lesions/ swellings,Respiratory Signs,oral and foot lesions,Diarrhoea,Emaciation,Aggression,Central Nervous System signs,Blindness/Eye condition,Reproductive signs,Other Signs/Syndomes,Number Sick / Bitten,Number Dead,Disease/Condition,Other Disease,Nature of Diagnosis,Number of Humans Affected,Disease Control Method
141f828c-5595-415a-94c7-e03c67a93fc8,Veterinarian,2022-08-23,2022-08-23,Dry,0.0,0.0,Central Rift,Protected Area: National Park,Hells Gate NP,Herbivore,Equidae (Zebra),<10,Yes,1.0,Human inflicted,Snares,No,No,No,No,No,No,No,No,No,No,No,0.0,0.0,Other,Snare ,Clinical,0.0,[Treatment]
4a06d9b9-0a63-46a1-bd5b-c84dd7b743d1,Veterinarian,2022-09-10,2022-09-10,Dry,0.0,0.0,Central Rift,Non-Protected Area: Ranch,Kedong Ranch ,Herbivore,Equidae (Zebra),<10,Yes,1.0,Human inflicted,Snares,No,No,No,No,No,No,No,No,No,No,No,0.0,0.0,Other,Snare ,Clinical,0.0,[Treatment]
0e13db56-21f1-4c7e-a4ad-b46699314646,Veterinarian,2022-09-10,2022-09-10,Dry,0.0,0.0,Central Rift,Non-Protected Area: Community land,Aquilla Farm ,Herbivore,Equidae (Zebra),<10,Yes,1.0,Human inflicted,Snares,No,No,No,No,No,No,No,No,No,No,No,0.0,0.0,Other,Snares ,Clinical,0.0,[Treatment]
b08cb787-3fcc-4323-811b-e5d71d470809,Veterinarian,2022-09-13,2022-09-13,Dry,0.0,0.0,Central Rift,Non-Protected Area: Conservancies,Mundui ,Herbivore,Giraffe,<10,Yes,1.0,Human inflicted,Snares,No,No,No,No,No,No,No,No,No,No,No,0.0,0.0,Other,Snare ,Clinical,0.0,[Treatment]
e56c5503-1bef-4012-9c42-4de942db3d20,Veterinarian,2022-09-19,2022-09-19,Dry,0.0,0.0,Central Rift,Non-Protected Area: Ranch,Kedong Ranch ,Herbivore,Equidae (Zebra),<10,Yes,1.0,Human inflicted,Snares,No,No,No,No,No,No,No,No,No,No,No,0.0,0.0,Other,Snares ,Clinical,0.0,[Treatment]
8c6a4a20-d2cb-4eb8-aaf1-822fae96eb91,Veterinarian,2022-09-23,2022-09-23,Dry,0.0,0.0,Central Rift,Other,Simba Lodge Naivasha ,Herbivore,Equidae (Zebra),<10,Yes,1.0,Human inflicted,Snares,No,No,No,No,No,No,No,No,No,No,No,0.0,0.0,Other,Snare ,Clinical,0.0,[Treatment]
9eb90c81-b35e-497f-871d-d06a5d9ee6ed,Veterinarian,2022-09-23,2022-09-23,Dry,0.0,0.0,Central Rift,Protected Area: National Park,Mt Longonot NP,Herbivore,Buffalo,<10,Yes,1.0,Human inflicted,Snares,No,No,No,No,No,No,No,No,No,No,No,0.0,0.0,Other,Winch Snare,Clinical,0.0,[Treatment]
855b5f22-ce4d-448c-b7d3-4cd351c3a936,Veterinarian,2022-09-23,2022-09-23,Dry,0.0,0.0,Central Rift,Non-Protected Area: Ranch,Loldia Farm,Herbivore,Impalla,<10,Yes,1.0,Human inflicted,Snares,No,No,No,No,No,No,No,No,No,No,No,0.0,0.0,Other,Snare ,Clinical,0.0,[Treatment]
b0e35d55-a2ab-4621-8df1-20ce41ab7876,Veterinarian,2022-11-02,2022-11-07,Dry,36.757,0.66188,Mountain,Non-Protected Area: Conservancies,Loisaba Conservancy ,Herbivore,Elephants,11-50,Yes,1.0,Human inflicted,Gunshot wounds,No,No,No,No,No,No,No,No,No,No,No,1.0,0.0,Other,Trauma,Clinical,0.0,[No Action]
ebc1fc0f-8c94-49d6-bdcb-e1a45cfe30ef,Veterinarian,2022-11-11,2022-11-11,Dry,0.5909983,37.5942983,Mountain,Protected Area: National Reserve,SNR,Herbivore,Elephants,<10,No,0.0,Unknown,Unknown,Yes,No,No,No,No,No,No,No,No,No,No,0.0,2.0,Other,Starvation - Drought ,Post Mortem,0.0,[No Action]
