Date of Report,Date of Start of Outbreak/Event,County,Sub-County,Ward,Locality,Species Affected,Production System,Abortion,Number Sick / Bitten,Number Dead,Disease/Condition,Nature of Diagnosis,Number of Humans Affected (If zoonosis),Number Vaccinated,Disease Control Method,Longitude,Latitude,Number Sick
2020-02-19,2020-02-19,Tharaka-Nithi,Maara,Mitheru,Village/Farm,Cattle,Intensive,No,1,0,Mastitis,Clinical,0,0,[Treatment],0.0,0.0,0
2020-02-22,2020-02-09,Garissa,Dadaab,Liboi,Village/Farm,Cattle,Extensive,No,12,1,Lumpy Skin Disease (LSD),Clinical,0,0,[Treatment],0.0,0.0,0
2020-02-20,2020-02-20,Makueni,Mbooni,Kiteta/Kisau,Village/Farm,Cattle,Mixed,No,1,0,Lumpy Skin Disease (LSD),Clinical,0,0,[Treatment],0.0,0.0,0
2020-03-02,2020-03-01,Bomet,Sotik,Rongena/Manaret,Village/Farm,Cattle,Mixed,No,2,0,Lumpy Skin Disease (LSD),Clinical,0,280,"[Treatment, Quarantine, Vaccination]",0.0,0.0,0
2020-02-24,2020-02-23,Kilifi,Malindi,Malindi Town,Village/Farm,Sheep,Mixed,No,0,0,Heart Water,Clinical,0,0,[Treatment],0.0,0.0,0
2020-02-24,2020-02-17,Samburu,Samburu West,Loosuk,Village/Farm,Cattle,Mixed,No,1,0,East Coast Fever(ECF),Clinical,0,0,[Treatment],0.0,0.0,0
2020-03-03,2020-02-29,Homa Bay,Karachuonyo,Kendu Bay Town,Village/Farm,Sheep,Mixed,No,1,0,Pneumonia,Clinical,0,0,[Treatment],0.0,0.0,0
2020-03-05,2020-03-04,Tharaka-Nithi,Chuka/Igambang'Ombe,Mugwe,Village/Farm,Cattle,Intensive,No,0,0,Prolapse ,Clinical,0,0,[Treatment],0.0,0.0,0
2020-02-28,2020-02-26,Nyeri,Mathira,Iriaini,Village/Farm,Sheep,Mixed,No,4,0,Foot Rot,Clinical,0,0,[Treatment],0.0,0.0,0
2020-03-05,2020-03-01,Migori,Kuria West,Bukira East,Village/Farm,Cattle,Mixed,No,1,0,East Coast Fever(ECF),Clinical,0,0,[No Action],0.0,0.0,0
2020-03-04,2020-03-04,Tharaka-Nithi,Maara,Muthambi,Village/Farm,Goats,Intensive,No,1,0,Foot and Mouth Disease (FMD),Clinical,0,0,[Treatment],0.0,0.0,0
2020-03-11,2020-03-08,Kisii,Bonchari,Riana,Village/Farm,Cattle,Mixed,No,1,0,Lumpy Skin Disease (LSD),Clinical,0,0,"[Vaccination, Treatment]",0.0,0.0,0
2020-02-29,2020-02-27,Kisii,Bonchari,Riana,Village/Farm,Cattle,Mixed,No,1,0,Lumpy Skin Disease (LSD),Clinical,0,0,"[Quarantine, Vaccination]",0.0,0.0,0
2020-04-19,2020-04-17,Homa Bay,Suba,Ruma-Kaksingri,Village/Farm,Cattle,Mixed,Yes,0,0,Brucellosis,Clinical,0,0,[Treatment],0.0,0.0,0
2020-02-24,2020-02-24,Embu,Mbeere South,Mavuria,Village/Farm,Dogs,Mixed,No,0,0,Rabies,Clinical,0,0,[Quarantine],0.0,0.0,0
2020-02-24,2020-02-24,Garissa,Garissa Township,Township,Village/Farm,Cattle,Extensive,Yes,10,1,Rift Valley Fever (RVF),Clinical,0,0,[No Action],0.0,0.0,0
2020-02-24,2020-02-24,Baringo,Tiaty,Ribkwo,Village/Farm,Chicken,Extensive,No,5,5,Newcastle Disease (NCD),Clinical,0,0,[Stamping Out],0.0,0.0,0
2020-02-16,2020-02-16,Makueni,Kilome,Kiima Kiu/Kalanzoni,Village/Farm,Cattle,Mixed,No,1,0,East Coast Fever(ECF),Clinical,0,0,"[Treatment, Vector Control]",0.0,0.0,0
2020-03-11,2020-03-11,Makueni,Mbooni,Kiteta/Kisau,Village/Farm,Cattle,Mixed,No,1,0,Lumpy Skin Disease (LSD),Clinical,0,0,[Treatment],0.0,0.0,0
2020-03-24,2020-03-24,Bomet,Sotik,Kapletundo,Village/Farm,Cattle,Mixed,No,5,0,Lumpy Skin Disease (LSD),Clinical,0,12,"[Treatment, Vaccination, Quarantine]",0.0,0.0,0
2020-03-24,2020-03-21,Bomet,Sotik,Kapletundo,Village/Farm,Goats,Mixed,No,1,0,Rabies,Clinical,1,5,"[Vaccination, Quarantine]",0.0,0.0,0
2020-03-26,2020-03-25,Bomet,Sotik,Rongena/Manaret,Village/Farm,Cattle,Mixed,No,1,0,Lumpy Skin Disease (LSD),Clinical,0,8,"[Treatment, Vaccination, Quarantine]",0.0,0.0,0
2020-02-12,2020-02-12,Tharaka-Nithi,Maara,Chogoria,Crush,Cattle,Intensive,No,1,0,Foot and Mouth Disease (FMD),Clinical,0,6,"[Treatment, Vaccination]",0.0,0.0,0
2020-02-17,2020-02-02,Siaya,Alego Usonga,West Alego,Village/Farm,Cattle,Extensive,No,1,0,Heart Water,Clinical,0,0,"[Treatment, Vector Control]",0.0,0.0,0
2020-02-17,2020-02-01,Siaya,Alego Usonga,West Alego,Village/Farm,Chicken,Extensive,No,2,11,Fowl Pox,Clinical,0,0,[No Action],0.0,0.0,0
2020-02-17,2020-02-17,Samburu,Samburu West,Maralal,Crush,Dogs,Unknown,No,1,0,Rabies,Clinical,0,2,"[Vaccination, Stamping Out]",0.0,0.0,0
2020-02-17,2020-02-16,Samburu,Samburu West,Maralal,Crush,Chicken,Unknown,No,8,2,Newcastle Disease (NCD),Clinical,0,0,[Treatment],0.0,0.0,0
2020-02-17,2020-02-14,Samburu,Samburu West,Suguta Marmar,Crush,Goats,Mixed,Yes,6,2,Contagious Caprine Pleuropneumonia (CCPP),Clinical,0,148,"[Treatment, Vaccination]",0.0,0.0,0
2020-02-18,2020-02-16,Narok,Narok South,Loita,Village/Farm,Goats,Mixed,Yes,0,6,Contagious Caprine Pleuropneumonia (CCPP),Clinical,0,300,"[Treatment, Vaccination]",0.0,0.0,0
2020-02-18,2020-02-16,Narok,Narok South,Loita,Village/Farm,Cattle,Mixed,No,0,0,Ephemeral Fever,Clinical,0,0,[Treatment],0.0,0.0,0
2020-02-16,2020-02-16,Samburu,Samburu West,Maralal,Village/Farm,Sheep,Mixed,No,12,0,Sheep Pox,Clinical,0,56,"[Treatment, Vaccination]",0.0,0.0,0
2020-02-15,2020-02-06,Garissa,Garissa Township,Township,Clinic,Cattle,Extensive,No,2,0,Foot and Mouth Disease (FMD),Clinical,0,0,"[Treatment, Vaccination]",0.0,0.0,0
2020-02-15,2020-02-10,Narok,Narok South,Loita,Village/Farm,Sheep,Mixed,No,0,3,Blue Tongue,Clinical,0,0,"[Treatment, Vector Control]",0.0,0.0,0
2020-02-16,2020-02-14,Narok,Narok South,Loita,Village/Farm,Goats,Mixed,Yes,0,4,Contagious Caprine Pleuropneumonia (CCPP),Clinical,0,98,"[Vaccination, Treatment]",0.0,0.0,0
2020-02-16,2020-02-12,Narok,Narok South,Loita,Village/Farm,Sheep,Intensive,No,0,1,Blue Tongue,Clinical,0,850,"[Vaccination, Treatment, Vector Control]",0.0,0.0,0
2020-02-16,2020-02-16,Samburu,Samburu West,Maralal,Village/Farm,Cattle,Mixed,No,3,0,Foot and Mouth Disease (FMD),Clinical,0,0,[Treatment],0.0,0.0,0
2020-02-16,2020-02-16,Samburu,Samburu West,Maralal,Village/Farm,Chicken,Mixed,No,5,5,Newcastle Disease (NCD),Clinical,0,0,[Treatment],0.0,0.0,0
2020-02-16,2020-02-14,Samburu,Samburu West,Maralal,Village/Farm,Cattle,Intensive,No,2,0,Collibacillosis ,Clinical,0,0,[Treatment],0.0,0.0,0
2020-02-18,2020-02-17,Samburu,Samburu West,Suguta Marmar,Crush,Cattle,Mixed,No,2,1,East Coast Fever(ECF),Clinical,0,0,[Treatment],0.0,0.0,0
2020-02-19,2020-02-16,Samburu,Samburu West,Poro,Market,Goats,Intensive,Yes,6,3,Contagious Caprine Pleuropneumonia (CCPP),Clinical,0,100,"[Treatment, Vaccination]",0.0,0.0,0
2020-02-18,2020-02-17,Samburu,Samburu West,Maralal,Village/Farm,Cattle,Intensive,No,1,0,Mastitis,Clinical,0,0,[Treatment],0.0,0.0,0
2020-02-19,2020-02-12,Samburu,Samburu West,Loosuk,Village/Farm,Cattle,Mixed,No,2,0,Anaplasmosis,Clinical,0,0,"[Treatment, Vector Control]",0.0,0.0,0
2020-02-18,2020-02-17,Samburu,Samburu West,Loosuk,Crush,Goats,Mixed,Yes,3,1,Contagious Caprine Pleuropneumonia (CCPP),Clinical,0,0,[Treatment],0.0,0.0,0
2020-02-12,2020-02-10,Narok,Narok South,Loita,Village/Farm,Cattle,Mixed,No,0,0,East Coast Fever(ECF),Clinical,0,0,"[Treatment, Vector Control]",0.0,0.0,0
2020-02-19,2020-02-17,Samburu,Samburu West,Suguta Marmar,Village/Farm,Sheep,Mixed,No,6,0,Mange,Clinical,0,0,[Treatment],0.0,0.0,0
2020-02-19,2019-02-19,Kisii,South Mugirango,Tabaka,Village/Farm,Cattle,Mixed,No,1,0,Pneumonia,Clinical,0,0,[Treatment],0.0,0.0,0
2020-02-20,2020-02-15,Garissa,Ijara,Sangailu,Village/Farm,Goats,Extensive,No,25,6,Contagious Caprine Pleuropneumonia (CCPP),Clinical,0,502,"[Vaccination, Treatment]",0.0,0.0,0
2020-02-19,2020-02-17,Samburu,Samburu West,Suguta Marmar,Village/Farm,Goats,Mixed,Yes,2,1,Contagious Caprine Pleuropneumonia (CCPP),Clinical,0,82,[Vaccination],0.0,0.0,0
2020-02-15,2020-02-13,Narok,Narok South,Loita,Village/Farm,Cattle,Mixed,No,0,1,East Coast Fever(ECF),Clinical,0,0,"[Treatment, Vector Control]",0.0,0.0,0
2020-02-15,2020-02-15,Makueni,Kaiti,Ilima,Abattoir,Goats,Unknown,No,0,0,Contagious Caprine Pleuropneumonia (CCPP),Post Mortem,0,0,[No Action],0.0,0.0,0
2020-02-19,2020-02-17,Samburu,Samburu West,Maralal,Village/Farm,Cattle,Mixed,No,1,0,East Coast Fever(ECF),Clinical,0,0,[Treatment],0.0,0.0,0
2020-02-20,2020-02-18,Samburu,Samburu West,Loosuk,Village/Farm,Sheep,Mixed,No,6,1,Heart Water,Clinical,0,0,"[Treatment, Vector Control]",0.0,0.0,0
2020-02-19,2020-02-18,Narok,Narok South,Loita,Village/Farm,Cattle,Mixed,No,0,0,Ephemeral Fever,Clinical,0,0,[Treatment],0.0,0.0,0
2020-02-22,2020-02-22,Kilifi,Magarini,Magarini,Abattoir,Cattle,Unknown,No,0,0,East Coast Fever(ECF),Clinical,0,0,[Other],0.0,0.0,0
2020-02-19,2020-02-17,Samburu,Samburu West,Suguta Marmar,Village/Farm,Dogs,Mixed,No,1,0,Mange,Clinical,0,0,[Treatment],0.0,0.0,0
2020-02-25,2020-02-22,Samburu,Samburu West,Lodokejek,Village/Farm,Goats,Extensive,No,4,2,Contagious Caprine Pleuropneumonia (CCPP),Clinical,0,150,"[Treatment, Vaccination]",0.0,0.0,0
2020-02-18,2020-02-18,Makueni,Mbooni,Kiteta/Kisau,Village/Farm,Cattle,Mixed,No,3,0,Helminthiasis,Clinical,0,0,[Other],0.0,0.0,0
2020-02-21,2020-02-19,Samburu,Samburu West,Poro,Crush,Cattle,Mixed,No,1,0,East Coast Fever(ECF),Clinical,0,0,[Treatment],0.0,0.0,0
2020-02-21,2020-02-21,Samburu,Samburu West,Maralal,Village/Farm,Chicken,Unknown,No,6,2,Newcastle Disease (NCD),Clinical,0,0,"[Treatment, Vector Control]",0.0,0.0,0
2020-02-25,2020-02-25,Tharaka-Nithi,Chuka/Igambang'Ombe,Karingani,Abattoir,Goats,Unknown,No,0,0,Pneumonia,Post Mortem,0,0,[No Action],0.0,0.0,0
2020-02-25,2020-02-19,Kisii,South Mugirango,Bogetenga,Village/Farm,Cattle,Extensive,No,1,0,Trypanosomiasis,Clinical,0,0,"[Treatment, Vector Control]",0.0,0.0,0
2020-02-21,2020-02-20,Samburu,Samburu West,Suguta Marmar,Crush,Goats,Mixed,Yes,8,2,Contagious Caprine Pleuropneumonia (CCPP),Clinical,0,128,"[Treatment, Vaccination]",0.0,0.0,0
2020-02-22,2020-01-15,Garissa,Dadaab,Damajale,Village/Farm,Goats,Extensive,No,19,17,Contagious Caprine Pleuropneumonia (CCPP),Clinical/Post Mortem,0,0,[Treatment],0.0,0.0,0
2020-02-21,2020-02-21,Tharaka-Nithi,Maara,Chogoria,Village/Farm,Cattle,Intensive,No,1,0,Mastitis,Clinical,0,0,[Treatment],0.0,0.0,0
2020-02-21,2020-02-19,Samburu,Samburu West,Lodokejek,Crush,Cattle,Mixed,No,3,0,Trypanosomiasis,Clinical,0,0,"[Treatment, Vector Control]",0.0,0.0,0
2020-02-25,2020-02-23,Samburu,Samburu West,Suguta Marmar,Village/Farm,Cattle,Mixed,No,1,0,Anaplasmosis,Clinical,0,0,[Treatment],0.0,0.0,0
2020-02-28,2020-02-27,Samburu,Samburu West,Lodokejek,Crush,Cattle,Mixed,No,1,0,East Coast Fever(ECF),Clinical,0,0,[Treatment],0.0,0.0,0
2020-02-21,2020-02-21,Kisii,Bonchari,Riana,Village/Farm,Cattle,Mixed,No,1,0,Bovine Enteritis,Clinical,0,0,[Treatment],0.0,0.0,0
2020-02-26,2020-02-25,Samburu,Samburu West,Maralal,Crush,Cattle,Mixed,No,1,0,Heart Water,Clinical,0,0,[Treatment],0.0,0.0,0
2020-02-22,2020-02-09,Garissa,Dadaab,Damajale,Village/Farm,Goats,Extensive,No,12,6,Contagious Caprine Pleuropneumonia (CCPP),Clinical,0,0,[Treatment],0.0,0.0,0
2020-02-27,2020-02-25,Samburu,Samburu West,Loosuk,Crush,Sheep,Mixed,No,12,0,Sheep Pox,Clinical,0,100,"[Treatment, Vaccination]",0.0,0.0,0
2020-02-22,2020-02-13,Garissa,Dadaab,Damajale,Village/Farm,Sheep,Extensive,No,16,14,Peste des Petit Ruminants (PPR),Clinical,0,0,[Treatment],0.0,0.0,0
2020-02-27,2020-02-26,Samburu,Samburu West,Maralal,Crush,Cattle,Unknown,No,1,0,East Coast Fever(ECF),Clinical,0,0,[Treatment],0.0,0.0,0
2020-03-05,2020-03-02,Samburu,Samburu West,Maralal,Village/Farm,Cattle,Intensive,No,1,0,East Coast Fever(ECF),Clinical,0,0,"[Treatment, Vector Control]",0.0,0.0,0
2020-02-26,2020-02-23,Samburu,Samburu West,Maralal,Crush,Cattle,Mixed,No,1,0,Heart Water,Clinical,0,0,[Treatment],0.0,0.0,0
2020-02-23,2020-02-21,Siaya,Ugenya,West Ugenya,Village/Farm,Cattle,Extensive,No,1,0,Heart Water,Clinical,0,0,"[Treatment, Vector Control]",0.0,0.0,0
2020-02-26,2020-02-24,Samburu,Samburu West,Maralal,Village/Farm,Goats,Mixed,Yes,3,1,Contagious Caprine Pleuropneumonia (CCPP),Clinical,0,0,[Treatment],0.0,0.0,0
2020-03-05,2020-03-04,Narok,Narok South,Loita,Village/Farm,Cattle,Mixed,Yes,0,0,Not Confirmed Disease,Clinical,0,0,[Treatment],0.0,0.0,0
2020-03-06,2020-03-06,Baringo,Baringo North,Kabartonjo,Village/Farm,Camel,Extensive,Yes,2,0,Rift Valley Fever (RVF),Clinical,0,0,[Quarantine],0.0,0.0,0
2020-02-26,2020-02-25,Samburu,Samburu North,Baawa,Village/Farm,Cattle,Intensive,No,1,0,East Coast Fever(ECF),Clinical,0,0,"[Treatment, Vector Control]",0.0,0.0,0
2020-02-23,2020-02-22,Busia,Budalangi,Bunyala North,Village/Farm,Cattle,Intensive,No,1,0,East Coast Fever(ECF),Clinical,0,0,"[Treatment, Vector Control]",0.0,0.0,0
2020-02-25,2020-02-18,Samburu,Samburu West,Maralal,Village/Farm,Cattle,Intensive,No,1,0,East Coast Fever(ECF),Clinical,0,0,"[Treatment, Vector Control]",0.0,0.0,0
2020-03-06,2020-03-04,Kericho,Bureti,Litein,Market,Cattle,Unknown,No,0,0,Foot and Mouth Disease (FMD),Clinical,0,0,"[Vaccination, Quarantine]",0.0,0.0,0
2020-02-23,2020-02-22,Samburu,Samburu West,Maralal,Village/Farm,Cattle,Mixed,No,1,0,East Coast Fever(ECF),Clinical,0,0,"[Treatment, Vector Control]",0.0,0.0,0
2020-03-03,2020-02-22,Garissa,Garissa Township,Township,Clinic,Goats,Extensive,No,0,4,Peste des Petit Ruminants (PPR),Clinical,0,0,[No Action],0.0,0.0,0
2020-03-04,2020-03-06,Tharaka-Nithi,Maara,Chogoria,Village/Farm,Cattle,Intensive,No,2,0,Foot and Mouth Disease (FMD),Clinical,0,10,"[Treatment, Vaccination]",0.0,0.0,0
2020-03-06,2020-03-04,Kisii,Bobasi,Masige West,Village/Farm,Chicken,Mixed,No,10,2,Respiratory Infections ,Clinical,0,0,[Treatment],0.0,0.0,0
2020-03-06,2020-03-06,Tharaka-Nithi,Maara,Chogoria,Crush,Dogs,Unknown,No,2,0,Helminthiasis,Clinical,0,2,[Treatment],0.0,0.0,0
2020-03-02,2020-03-02,Samburu,Samburu West,Maralal,Village/Farm,Cattle,Mixed,No,1,0,Anaplasmosis,Clinical,0,0,"[Treatment, Vector Control]",0.0,0.0,0
2020-03-02,2020-03-02,Bomet,Sotik,Kapletundo,Village/Farm,Cattle,Mixed,No,2,0,Lumpy Skin Disease (LSD),Clinical,0,1300,"[Treatment, Vaccination]",0.0,0.0,0
2020-02-24,2020-02-14,Migori,Kuria West,Bukira East,Village/Farm,Cattle,Mixed,No,1,0,East Coast Fever(ECF),Clinical,0,0,"[Treatment, Vector Control]",0.0,0.0,0
2020-03-05,2020-03-04,Makueni,Kaiti,Ukia,Village/Farm,Cattle,Mixed,No,1,0,East Coast Fever(ECF),Clinical,0,0,"[Treatment, Vector Control]",0.0,0.0,0
2020-02-29,2020-02-29,Mandera,Mandera North,Rhamu-Dimtu,Village/Farm,Cattle,Extensive,No,1,0,Pneumonia,Clinical,0,0,[Treatment],0.0,0.0,0
2020-02-25,2020-02-25,Kilifi,Malindi,Malindi Town,Village/Farm,Goats,Extensive,Yes,0,0,Sacamstantial,Clinical,0,0,[Treatment],0.0,0.0,0
2020-02-27,2020-02-22,Kwale,Msambweni,Kinondo,Village/Farm,Cattle,Extensive,No,1,0,East Coast Fever(ECF),Clinical,0,0,[Treatment],0.0,0.0,0
2020-03-20,2020-02-25,Garissa,Ijara,Masalani,Village/Farm,Goats,Extensive,No,11,2,Babesiosis,Clinical/Post Mortem,0,0,"[Other, Treatment]",0.0,0.0,0
2020-03-07,2020-03-06,Tharaka-Nithi,Chuka/Igambang'Ombe,Igambang'Ombe,Village/Farm,Cattle,Intensive,No,3,0,Foot and Mouth Disease (FMD),Clinical,0,0,[Treatment],0.0,0.0,0
2020-03-19,2020-03-19,Tharaka-Nithi,Chuka/Igambang'Ombe,Karingani,Village/Farm,Cattle,Intensive,No,0,2,Anthrax,Clinical,0,0,"[Other, Treatment]",0.0,0.0,0
2020-05-18,2020-05-15,Homa Bay,Homa Bay Town,Homa Bay Central,Village/Farm,Cattle,Mixed,No,2,0,Lumpy Skin Disease (LSD),Clinical,0,0,[Treatment],0.0,0.0,0
2020-02-19,2020-02-19,Tharaka-Nithi,Maara,Mitheru,Village/Farm,Goats,Intensive,No,0,3,Poisoning,Clinical,0,0,[Treatment],0.0,0.0,0
2020-02-18,2020-02-18,Makueni,Kaiti,Kilungu,Abattoir,Goats,Unknown,No,0,0,Helminthiasis,Post Mortem,0,0,[Other],0.0,0.0,0
2020-03-09,2020-03-09,Tharaka-Nithi,Maara,Chogoria,Village/Farm,Cattle,Intensive,No,1,1,Downers Cow Syndrome,Clinical,0,0,[Treatment],37.6571216,-0.221016,0
2020-03-09,2020-03-08,Kilifi,Malindi,Shella,Village/Farm,Goats,Extensive,No,0,1,Helminthiasis,Post Mortem,0,0,[Treatment],40.1057464,-3.2279395,0
2020-03-10,2020-03-10,Tharaka-Nithi,Maara,Mwimbi,Abattoir,Cattle,Unknown,No,1,0,Helminthiasis,Post Mortem,0,0,[No Action],37.7398796,-0.2560735,0
2020-03-11,2020-03-07,Embu,Runyenjes,Central Ward,Village/Farm,Cattle,Mixed,Yes,0,0,Rift Valley Fever (RVF),Clinical,0,0,[Vaccination],36.9468859,-0.4255179,0
2020-04-06,2020-03-24,Garissa,Dadaab,Dadaab,Village/Farm,Camel,Extensive,No,43,0,Mange,Clinical,0,0,[Treatment],0.0,0.0,0
2020-03-11,2020-03-07,Embu,Runyenjes,Central Ward,Village/Farm,Cattle,Extensive,Yes,5,0,Rift Valley Fever (RVF),Clinical,0,0,[Quarantine],36.9457422,-0.425257,0
2020-03-11,2020-03-07,Embu,Runyenjes,Central Ward,Village/Farm,Cattle,Extensive,Yes,5,0,Rift Valley Fever (RVF),Clinical,0,0,[Quarantine],36.9457412,-0.4252603,0
2020-04-02,2020-03-11,Garissa,Dadaab,Abakaile,Village/Farm,Camel,Extensive,No,12,0,Pneumonia,Clinical,0,0,[Treatment],0.0,0.0,0
2020-03-31,2020-03-22,Garissa,Dadaab,Dadaab,Village/Farm,Goats,Extensive,No,4,0,Babesiosis,Clinical,0,0,[Treatment],0.0,0.0,0
2020-03-11,2020-03-07,Embu,Runyenjes,Central Ward,Village/Farm,Cattle,Intensive,Yes,2,0,Rift Valley Fever (RVF),Clinical,0,0,"[Quarantine, Vector Control]",36.9457363,-0.4252558,0
2020-03-11,2020-03-07,Embu,Runyenjes,Central Ward,Village/Farm,Sheep,Extensive,Yes,14,0,Rift Valley Fever (RVF),Clinical/Post Mortem,0,0,[Quarantine],0.0,0.0,0
2020-03-11,2020-03-09,Embu,Runyenjes,Central Ward,Village/Farm,Goats,Mixed,No,3,9,Rift Valley Fever (RVF),Clinical,0,0,[Quarantine],36.9515576,-0.4218065,0
2020-04-14,2020-04-13,Makueni,Kibwezi West,Nguu/Masumba,Village/Farm,Goats,Mixed,No,1,0,Pneumonia,Clinical,0,0,[Treatment],37.5882479,-2.0235905,0
2020-03-11,2020-03-07,Embu,Runyenjes,Central Ward,Village/Farm,Goats,Mixed,No,3,9,Rift Valley Fever (RVF),Clinical,0,0,[Quarantine],36.9515576,-0.4218065,0
2020-03-07,2020-03-04,Makueni,Makueni,Kathonzweni,Village/Farm,Cattle,Mixed,No,1,0,Lumpy Skin Disease (LSD),Clinical,0,0,[Treatment],-1.929415,37.735485,0
2020-03-11,2020-03-10,Machakos,Masinga,Ndithini,Village/Farm,Cattle,Intensive,No,0,0,Foot and Mouth Disease (FMD),Clinical,0,0,"[Treatment, Quarantine]",36.949365,-0.4217398,0
2020-03-10,2020-03-10,Mandera,Mandera North,Rhamu,Village/Farm,Goats,Intensive,No,1,0,Retained Placenta,Clinical,0,0,[Treatment],41.225293,3.9300897,0
2020-03-11,2020-03-08,Makueni,Makueni,Kitise/Kithuki,Village/Farm,Cattle,Mixed,No,1,0,Pneumonia,Clinical,0,0,[Treatment],-1.935744,37.806265,0
2020-03-09,2020-03-09,Embu,Runyenjes,Central Ward,Village/Farm,Goats,Intensive,No,3,9,Rift Valley Fever (RVF),Clinical,3,0,[Quarantine],36.950472,-0.4220173,0
2020-03-04,2020-03-04,Machakos,Mwala,Masii,Village/Farm,Cattle,Intensive,No,0,2,Anthrax,Clinical,0,0,[Treatment],36.9515576,-0.4218065,0
2020-03-12,2020-03-06,Embu,Mbeere South,Mavuria,Crush,Cattle,Intensive,No,5,0,Foot and Mouth Disease (FMD),Clinical,0,195,[Vaccination],36.945737,-0.4252697,0
2020-03-12,2020-03-09,Machakos,Kathiani,Mitaboni,Village/Farm,Cattle,Intensive,No,5,0,Foot and Mouth Disease (FMD),Clinical,0,0,"[Treatment, Quarantine]",36.9457284,-0.4252555,0
2020-03-12,2020-03-01,Bomet,Chepalungu,Chebunyo,Village/Farm,Cattle,Mixed,No,4,0,Lumpy Skin Disease (LSD),Clinical,0,0,[Treatment],0.0,0.0,0
2020-03-12,2020-03-04,Migori,Kuria West,Bukira East,Village/Farm,Cattle,Unknown,No,1,0,Helminthiasis,Clinical/Post Mortem,0,0,[Treatment],34.6246309,-1.1852902,0
2020-03-04,2020-03-04,Machakos,Mwala,Masii,Village/Farm,Sheep,Intensive,No,0,2,Anthrax,Clinical,0,5,[Treatment],36.9468305,-0.4255618,0
2020-03-11,2020-03-11,Samburu,Samburu West,Maralal,Abattoir,Goats,Extensive,No,0,0,Contagious Caprine Pleuropneumonia (CCPP),Post Mortem,0,0,[No Action],36.7019563,1.0740547,0
2020-03-11,2020-03-07,Kisii,Bonchari,Riana,Village/Farm,Cattle,Intensive,No,1,0,Lumpy Skin Disease (LSD),Clinical,0,0,"[Vaccination, Treatment]",34.6647524,-0.6558596,0
2020-03-13,2020-02-27,Nyeri,Nyeri Town,Kiganjo/Mathari,Village/Farm,Sheep,Intensive,No,1,0,Pneumonia,Clinical,0,0,[Treatment],36.9337066,-0.3732641,0
2020-03-11,2020-03-07,Embu,Runyenjes,Central Ward,Village/Farm,Sheep,Mixed,Yes,12,0,Rift Valley Fever (RVF),Clinical,0,0,[Quarantine],36.9457449,-0.425162,0
2020-03-13,2020-02-27,Nyeri,Nyeri Town,Kiganjo/Mathari,Village/Farm,Cattle,Intensive,No,1,1,Pneumonia,Clinical,0,0,[Treatment],37.0110113,-0.2888605,0
2020-03-11,2020-03-08,Makueni,Makueni,Mavindini,Village/Farm,Cattle,Mixed,No,5,0,Foot and Mouth Disease (FMD),Clinical,0,0,[Treatment],-1.816156,37.804762,0
2020-03-11,2020-03-07,Embu,Runyenjes,Central Ward,Village/Farm,Sheep,Extensive,Yes,14,0,Rift Valley Fever (RVF),Clinical,0,0,[Quarantine],0.0,0.0,0
2020-03-13,2020-02-27,Nyeri,Nyeri Town,Kiganjo/Mathari,Village/Farm,Cattle,Intensive,No,1,1,Pneumonia,Clinical,0,0,[Treatment],36.9485653,-0.4082773,0
2020-03-13,2020-02-27,Nyeri,Nyeri Town,Kiganjo/Mathari,Village/Farm,Sheep,Intensive,No,1,4,Peste des Petit Ruminants (PPR),Clinical,0,0,[Treatment],36.9384883,-0.3790796,0
2020-03-12,2020-02-27,Machakos,Machakos Town,Mua,Village/Farm,Cattle,Extensive,No,2,0,Animal bites,Clinical,0,0,"[Treatment, Other]",36.9457248,-0.4252483,0
2020-03-29,2020-02-12,Garissa,Dadaab,Abakaile,Village/Farm,Goats,Extensive,No,14,0,Contagious Ecthyma,Clinical,0,0,[Treatment],0.0,0.0,0
2020-04-04,2020-03-21,Garissa,Dadaab,Abakaile,Village/Farm,Sheep,Extensive,No,13,0,salmonellosis,Clinical,0,0,[Treatment],0.0,0.0,0
2020-04-03,2020-03-24,Garissa,Dadaab,Dadaab,Village/Farm,Goats,Extensive,No,2,1,Peste des Petit Ruminants (PPR),Clinical,0,31,[Quarantine],0.0,0.0,0
2020-04-06,2020-04-06,Kisii,Bonchari,Bomariba,Village/Farm,Cattle,Intensive,No,1,0,East Coast Fever(ECF),Clinical,0,0,"[Treatment, Vector Control]",34.6640482,-0.5672149,0
2020-03-10,2020-03-08,Samburu,Samburu West,Maralal,Crush,Cattle,Mixed,No,1,0,East Coast Fever(ECF),Clinical,0,0,[Treatment],0.0,0.0,0
2020-03-11,2020-03-07,Embu,Runyenjes,Central Ward,Clinic,Cattle,Extensive,Yes,5,0,Rift Valley Fever (RVF),Clinical,0,0,[Quarantine],36.9457401,-0.4252569,0
2020-03-11,2020-03-09,Embu,Runyenjes,Central Ward,Village/Farm,Cattle,Intensive,No,5,0,Rift Valley Fever (RVF),Clinical,0,0,[Quarantine],36.9457381,-0.4252551,0
2020-03-10,2020-03-10,Samburu,Samburu West,Maralal,Abattoir,Sheep,Unknown,No,3,1,Heart Water,Clinical,0,0,[Treatment],0.0,0.0,0
