Date of Report,Date of Start of Outbreak/Event,County,Sub-County,Ward,Locality,Species Affected,Production System,Abortion,Number Sick / Bitten,Number Dead,Disease/Condition,Nature of Diagnosis,Number of Humans Affected (If zoonosis),Number Vaccinated,Disease Control Method,Longitude,Latitude,Number Sick
2024-01-24,2024-01-23,Makueni,Kibwezi East,Thange,Village/Farm,Cattle,Intensive,No,0,1,Enteritis,Post Mortem,1,0,"[Other, Vector Control]",38.0170107,-2.5139467,0
2024-01-24,2024-01-23,Narok,Narok South,Loita,Clinic,Cattle,Mixed,Yes,0,0,East Coast Fever(ECF),Clinical,0,0,[Treatment],35.7138969,-1.8159143,1
2024-01-24,2024-01-22,Taita Taveta,Mwatate,Rong'E,Village/Farm,Goats,Extensive,No,0,0,Diarrhoea,Clinical,0,0,[Treatment],38.4282969,-3.381728,1
2024-01-10,2024-01-09,Elgeyo/Marakwet,Marakwet West,Lelan,Village/Farm,Cattle,Extensive,No,0,0,East Coast Fever(ECF),Clinical,0,0,"[Treatment, Vector Control]",35.34769256229868,1.007442597306639,1
2024-01-22,2024-01-10,Samburu,Samburu East,Wamba East,Village/Farm,Goats,Extensive,No,0,0,Helminthiasis,Clinical,0,0,[Treatment],37.197033,1.075789,2
2024-01-14,2024-01-11,Elgeyo/Marakwet,Marakwet West,Lelan,Village/Farm,Cattle,Extensive,No,0,0,Helminthiasis,Clinical,0,0,[Treatment],35.32177448272705,1.01249098777771,2
2024-01-24,2024-01-20,Kakamega,Lugari,Chekalini,Village/Farm,Cattle,Mixed,No,0,0,Helminthiasis,Clinical,0,0,"[Vector Control, Treatment]",34.917064,0.6397411,1
2024-01-24,2024-01-21,Narok,Narok South,Loita,Village/Farm,Cattle,Mixed,No,0,1,East Coast Fever(ECF),Clinical,0,0,"[Treatment, Vector Control]",35.8598596,-1.8839793,4
2024-01-24,2024-01-21,Trans Nzoia,Cherangany,Chepsiro/Kiptoror,Village/Farm,Sheep,Extensive,No,0,0,Helminthiasis,Clinical,0,0,[Treatment],35.34333944320679,1.014368534088137,2
2024-01-24,2024-01-24,Narok,Narok South,Loita,Clinic,Goats,Mixed,No,0,2,Contagious Caprine Pleuropneumonia (CCPP),Clinical,0,0,[Treatment],35.7138969,-1.8159143,2
2024-01-24,2024-01-23,Elgeyo/Marakwet,Marakwet West,Cherang'Any/Chebororwa,Village/Farm,Cattle,Extensive,No,0,0,East Coast Fever(ECF),Clinical,0,0,"[Treatment, Vector Control]",35.33976919591318,1.013230368804869,1
2024-01-18,2024-01-18,Taita Taveta,Voi,Mbololo,Village/Farm,Cattle,Mixed,No,0,0,Black Quarter,Clinical,0,0,[Treatment],38.5816728,-3.3934096,0
2024-01-06,2024-01-06,Taita Taveta,Voi,Mbololo,Village/Farm,Cattle,Mixed,No,0,0,Trypanosomiasis,Clinical,0,0,[Treatment],38.0219729,-3.4120274,2
2024-01-20,2024-01-20,Taita Taveta,Voi,Mbololo,Village/Farm,Cattle,Mixed,No,0,0,East Coast Fever(ECF),Clinical,0,0,[Treatment],38.5262096,-3.3409362,0
2024-01-24,2024-01-23,Busia,Teso South,Amukura Central,Village/Farm,Cattle,Extensive,No,0,0,Black Quarter,Clinical,0,0,"[Treatment, Vector Control]",34.3121227,0.5052434,2
2024-01-06,2024-01-06,Taita Taveta,Voi,Mbololo,Village/Farm,Goats,Mixed,No,0,0,Pneumonia,Clinical,0,0,[Treatment],38.2185156,-3.5477002,10
2024-01-20,2024-01-19,Marsabit,Moyale,Golbo,Village/Farm,Camel,Extensive,No,0,0,Haemorrhagic septicemia,Clinical,0,0,[Treatment],39.171518,3.446285,2
2024-01-24,2024-01-24,Taita Taveta,Voi,Mbololo,Village/Farm,Cattle,Mixed,No,0,0,Black Quarter,Clinical,0,0,[Treatment],38.346373,-3.4367845,1
2024-01-12,2024-01-12,Taita Taveta,Voi,Mbololo,Village/Farm,Cattle,Mixed,No,0,0,East Coast Fever(ECF),Clinical,0,0,[Treatment],38.53927487,-3.3867281,1
2024-01-24,2024-01-24,Taita Taveta,Voi,Mbololo,Village/Farm,Goats,Mixed,No,0,0,Peste des Petit Ruminants (PPR),Clinical,0,0,[Treatment],38.4782571,-3.4514607,0
2024-01-23,2024-01-20,Marsabit,Moyale,Golbo,Village/Farm,Goats,Extensive,Yes,0,0,Brucellosis,Clinical,0,0,[Treatment],39.171518,3.446285,5
2024-01-24,2024-01-24,Taita Taveta,Voi,Mbololo,Market,Chicken,Mixed,No,0,0,Infectious Bursai Disease (Gumboro),Clinical,0,0,[Treatment],38.5262096,-3.3409362,10
2024-01-16,2024-01-16,Taita Taveta,Voi,Kaloleni,Village/Farm,Sheep,Mixed,No,0,0,Pneumonia,Clinical,0,0,[Treatment],38.5800325,-3.3917263,0
2024-01-24,2023-09-17,Samburu,Samburu East,Wamba East,Village/Farm,Goats,Extensive,No,0,0,Skin Abscess ,Clinical,0,0,[No Action],37.2428666,1.0484618,0
2024-01-24,2024-01-21,Marsabit,Moyale,Golbo,Village/Farm,Goats,Extensive,Yes,0,0,Brucellosis,Clinical,0,0,[Treatment],39.171518,3.446285,3
2024-01-25,2024-01-23,Kakamega,Malava,East Kabras,Village/Farm,Cattle,Mixed,No,0,0,East Coast Fever(ECF),Clinical,0,0,[Vector Control],34.8587951,0.4097552,1
2024-01-16,2024-01-16,Taita Taveta,Voi,Mbololo,Village/Farm,Dogs,Unknown,No,0,0,Mange,Clinical,0,0,[Treatment],38.5800325,-3.3917263,0
2024-01-24,2024-01-23,Kakamega,Lugari,Lugari,Village/Farm,Cattle,Extensive,No,0,0,Helminthiasis,Clinical,0,0,[Treatment],34.9129278,0.6319735,3
2024-01-24,2024-01-20,Samburu,Samburu East,Wamba East,Village/Farm,Goats,Extensive,No,0,0,Contagious Ecthyma,Clinical,0,0,[Treatment],37.3167559,0.9797113,2
2024-01-17,2024-01-17,Taita Taveta,Voi,Kaloleni,Village/Farm,Chicken,Mixed,No,0,0,Coccidosis,Clinical,0,0,[Treatment],38.583641,-3.3948259,5
2024-01-24,2024-01-22,Kakamega,Lugari,Lugari,Village/Farm,Cattle,Extensive,No,0,0,East Coast Fever(ECF),Clinical,0,0,"[Treatment, Vector Control]",34.9129278,0.6319735,1
2024-01-25,2024-01-25,Nakuru,Bahati,Bahati,Crush,Cattle,Intensive,No,0,0,Enterotoxaemia,Clinical,0,0,[Treatment],36.12431,-0.18868,1
2024-01-25,2024-01-19,Makueni,Makueni,Kathonzweni,Market,Cattle,Unknown,No,0,0,Lumpy Skin Disease (LSD),Clinical,0,0,"[Isolation, Treatment]",37.7222727,-1.900517,1
2024-01-25,2024-01-24,Makueni,Kaiti,Kilungu,Abattoir,Cattle,Unknown,No,0,0,Abscess ,Post Mortem,0,0,[Other],37.3608523,-1.7903876,0
2024-01-25,2024-01-23,Narok,Narok South,Loita,Village/Farm,Sheep,Mixed,No,0,0,blue tongue ,Clinical,0,0,"[Treatment, Vector Control]",35.7313037,-1.6898457,4
2024-01-25,2024-01-21,Marsabit,Moyale,Sololo,Village/Farm,Cattle,Extensive,No,0,0,Three Day Sickness ,Clinical,0,0,[Treatment],38.623975,3.592529,1
2024-01-25,2024-01-25,Busia,Butula,Marachi Central,Village/Farm,Cattle,Mixed,No,0,0,Pink Eye,Clinical,0,0,[Treatment],34.2385124,0.3263033,1
2024-01-19,2024-01-14,Marsabit,Moyale,Sololo,Village/Farm,Cattle,Intensive,Yes,0,0,Brucellosis,Clinical,0,0,[Treatment],38.644708,3.566041,1
2024-01-25,2024-01-23,Elgeyo/Marakwet,Keiyo South,Soy North,Village/Farm,Cattle,Extensive,No,0,0,East Coast Fever(ECF),Clinical,0,0,[Treatment],35.56732429125346,0.5252515975604553,1
2024-01-25,2024-01-25,Busia,Butula,Marachi Central,Village/Farm,Cattle,Mixed,Yes,0,0,Trypanosomiasis,Clinical,0,0,[Treatment],34.2385124,0.3263033,1
2024-01-25,2024-01-25,Busia,Nambale,Nambale Township,Village/Farm,Dogs,Intensive,No,0,1,Parvovirus,Clinical,0,0,"[Vaccination, Isolation]",34.2551842,0.4478922,2
2024-01-25,2024-01-21,Marsabit,Moyale,Sololo,Village/Farm,Cattle,Intensive,No,0,0,Pneumonia,Clinical,0,0,[Treatment],38.6447251,3.5660416,9
2024-01-25,2024-01-24,Marsabit,Saku,Marsabit Central,Village/Farm,Cattle,Mixed,No,0,0,Anaplasmosis,Clinical,0,0,[Treatment],38.013721,2.351805,1
2024-01-25,2024-01-20,Marsabit,Moyale,Sololo,Village/Farm,Goats,Intensive,No,0,0,Heart Water,Clinical,0,0,[Treatment],38.644728,3.5660415,1
2024-01-25,2024-01-24,Busia,Teso South,Amukura Central,Village/Farm,Cattle,Extensive,Yes,0,0,Contagious Abortion ,Clinical,0,0,[Treatment],34.2478907,0.5320678,1
2024-01-25,2024-01-25,Nyandarua,Kipipiri,Githioro,Village/Farm,Cattle,Mixed,No,0,0,Conjuctivitis,Clinical,0,0,[Treatment],36.5342797,-0.5333852,1
2024-01-25,2024-01-12,Marsabit,Saku,Marsabit Central,Village/Farm,Dogs,Unknown,No,0,0,Parvovirus,Clinical,0,0,"[Isolation, Other]",38.006679,2.347356,2
2024-01-25,2024-01-25,Marsabit,Moyale,Uran,Village/Farm,Sheep,Extensive,Yes,0,0,Rift Valley Fever (RVF),Clinical,0,0,[Treatment],38.5209562,3.6042374,4
2024-01-25,2024-01-17,Marsabit,Moyale,Sololo,Village/Farm,Goats,Intensive,Yes,0,0,Brucellosis,Clinical,0,0,[Treatment],38.6447319,3.5660411,2
2024-01-25,2024-01-20,Marsabit,Moyale,Sololo,Village/Farm,Goats,Intensive,No,0,0,Animal bites,Clinical,0,0,[Treatment],38.6447198,3.566042,1
